CID,State,ZIP,Region
2142,UT,84717,West
1987,NM,87575,West
2047,MT,59736,West
1386,AL,36266,South
1184,ND,58559,Midwest
617,NY,10921,Northeast
1237,FL,33449,South
2106,PA,19567,Northeast
1722,OR,97148,West
500,ID,83314,West
2323,TX,77084,South
2232,SD,57105,Midwest
2333,CA,91911,West
1261,KS,67475,Midwest
2120,LA,71461,South
2569,TX,78884,South
1276,SC,29030,South
1206,MO,65793,Midwest
2538,TN,38585,South
1951,DC,20374,South
1289,IL,61448,Midwest
2167,NC,28752,South
2524,IN,47246,Midwest
1820,LA,70632,South
2607,OK,74525,South
889,NE,68644,Midwest
885,MO,64133,Midwest
1852,UT,84304,West
1834,MO,64483,Midwest
2389,MN,55441,Midwest
2016,AZ,85294,West
2429,IN,47546,Midwest
523,WA,99109,West
1966,SD,57231,Midwest
169,NV,89820,West
937,KS,67117,Midwest
538,CA,91207,West
908,IA,51031,Midwest
2442,TN,37304,South
1071,NC,27406,South
1305,TX,78660,South
1927,WY,82054,West
2276,AZ,86326,West
1267,MN,56355,Midwest
829,WA,98528,West
1232,NE,69150,Midwest
467,NV,89166,West
834,CA,94507,West
1894,OH,44010,Midwest
1648,OH,44303,Midwest
2138,MS,38966,South
1345,MI,49068,Midwest
1461,CA,94954,West
2336,AZ,85207,West
1909,CA,92119,West
459,CO,80820,West
2548,NE,69152,Midwest
1414,NC,28127,South
1343,WI,54843,Midwest
2362,TX,78361,South
2009,KS,67022,Midwest
1614,TX,75938,South
1263,FL,33774,South
1478,LA,70529,South
575,WV,26134,South
1239,OH,43566,Midwest
589,SC,29048,South
519,MI,49008,Midwest
580,FL,34711,South
490,MO,63549,Midwest
546,MO,64867,Midwest
543,MI,48866,Midwest
2229,NE,68461,Midwest
2197,KY,42330,South
610,FL,32833,South
710,WI,54002,Midwest
641,MN,56145,Midwest
184,WA,98421,West
2202,FL,32040,South
1533,NC,27830,South
168,OR,97845,West
2125,WA,99032,West
1457,MO,65625,Midwest
2156,MN,56686,Midwest
561,ND,58464,Midwest
491,IA,50842,Midwest
537,WI,54914,Midwest
1531,SD,57422,Midwest
590,KS,66112,Midwest
2327,GA,31097,South
684,NC,27983,South
1749,TX,78240,South
2214,IN,46743,Midwest
2334,AR,71644,South
2122,LA,70363,South
532,NE,69337,Midwest
1129,CA,95066,West
1724,CA,90003,West
2056,MD,20690,South
2198,TN,37340,South
1816,TX,75754,South
1288,DC,20260,South
943,OH,45773,Midwest
166,CA,95673,West
1020,OR,97741,West
583,VA,24201,South
1047,TX,75251,South
840,OK,74347,South
208,CA,94617,West
192,CA,92257,West
963,TX,79230,South
2540,OK,74528,South
673,AL,36260,South
182,CA,94110,West
1316,KS,67356,Midwest
1405,MS,39741,South
2464,TX,75074,South
828,CA,92591,West
604,IL,61015,Midwest
924,ND,58730,Midwest
242,ID,83861,West
1634,WY,82834,West
1776,MT,59720,West
349,NY,11766,Northeast
1610,OH,43913,Midwest
190,CO,80601,West
1075,WI,54983,Midwest
1745,PA,17339,Northeast
1798,MS,39166,South
1081,MI,49668,Midwest
970,FL,33908,South
2058,AZ,85033,West
2372,MD,20680,South
954,FL,33068,South
2500,AR,72629,South
2412,FL,33179,South
1431,OR,97532,West
2177,TX,78389,South
1069,AL,35111,South
952,VA,22026,South
536,CA,95060,West
2398,WA,98942,West
2113,TX,79086,South
916,WI,53027,Midwest
1198,OK,74574,South
2578,TX,76108,South
732,AL,36079,South
595,ND,58212,Midwest
748,NC,27283,South
1644,SD,57016,Midwest
1779,CA,95030,West
620,KS,67425,Midwest
1157,CA,92126,West
625,WV,26726,South
576,IA,50858,Midwest
864,CA,92075,West
1495,MO,64496,Midwest
204,OR,97451,West
1356,KS,67127,Midwest
668,SC,29829,South
1438,MS,38858,South
661,MN,56662,Midwest
867,OK,73441,South
1499,OK,73529,South
2143,PA,15357,Northeast
846,OR,97527,West
2164,NJ,7009,Northeast
480,NM,88419,West
2491,MD,21631,South
1176,MI,48220,Midwest
540,NV,89433,West
1174,MO,63471,Midwest
865,CA,93033,West
549,MO,63622,Midwest
2162,UT,84313,West
2025,NM,88301,West
2502,MN,56293,Midwest
1465,MA,2466,Northeast
716,VT,5820,Northeast
1908,NH,3845,Northeast
2492,LA,71368,South
1764,ME,4217,Northeast
1872,RI,2875,Northeast
2151,LA,70471,South
1304,SC,29530,South
1139,CT,6776,Northeast
725,MA,2339,Northeast
525,ID,83274,West
1416,AL,36005,South
2343,CA,95922,West
821,CA,90036,West
1322,IL,62014,Midwest
2588,AR,72079,South
2622,OK,73051,South
633,MI,49802,Midwest
2612,TX,75944,South
197,CO,80138,West
581,CA,90723,West
2487,GA,30555,South
982,WV,25901,South
187,NV,89148,West
2458,NE,69169,Midwest
1855,PA,17512,Northeast
566,OR,97756,West
1203,CA,95689,West
1919,NC,28463,South
1736,NM,87701,West
1737,KS,66221,Midwest
1864,MO,64863,Midwest
1688,DC,20002,South
2141,CA,90803,West
2390,LA,71455,South
1892,NJ,8340,Northeast
927,MI,49509,Midwest
1331,TX,78010,South
609,CA,94903,West
1413,TX,75574,South
983,OH,43356,Midwest
2231,FL,34762,South
578,MO,63363,Midwest
585,WI,54246,Midwest
2293,TN,38233,South
1117,OR,97396,West
627,VA,24529,South
2270,IN,47611,Midwest
1007,TX,77096,South
624,FL,33868,South
2551,OK,73853,South
1310,OH,45322,Midwest
1076,TX,79227,South
655,NY,10969,Northeast
2553,NE,68133,Midwest
1295,MN,55707,Midwest
2067,PA,18222,Northeast
2208,NC,28078,South
2093,MT,59242,West
504,CO,81403,West
2269,SD,57725,Midwest
1294,VA,22722,South
2510,WA,98351,West
2000,DC,20019,South
1677,OH,43811,Midwest
1497,CA,94536,West
2532,KY,41351,South
2245,KY,41092,South
2583,GA,30093,South
1311,WV,25854,South
2541,IN,47302,Midwest
1376,WI,54420,Midwest
1768,OR,97731,West
2300,AZ,85139,West
746,WI,54759,Midwest
899,CA,95250,West
1730,TX,78108,South
688,IL,61701,Midwest
2381,TX,78606,South
2351,GA,30139,South
1805,TX,76365,South
591,NE,68871,Midwest
574,WA,99204,West
623,ND,58370,Midwest
1900,UT,84642,West
649,WV,25965,South
2361,AR,72168,South
231,WA,98136,West
959,ND,58737,Midwest
1641,OH,43302,Midwest
223,CO,80210,West
224,CA,93621,West
579,MO,65254,Midwest
2511,AR,72753,South
2461,TN,37029,South
2015,SD,57321,Midwest
1182,CA,91436,West
1389,KS,66521,Midwest
1154,AL,36617,South
2096,MD,21220,South
1053,SC,29114,South
933,MO,65468,Midwest
2433,KY,40385,South
207,NV,89031,West
2610,OK,74827,South
979,KS,67144,Midwest
252,CA,91767,West
1060,IL,60178,Midwest
1004,FL,33569,South
1469,OR,97827,West
587,CA,92197,West
981,FL,32805,South
2089,AZ,86445,West
1596,CA,95979,West
236,CA,93560,West
2481,TX,76023,South
692,MN,55405,Midwest
900,OK,74120,South
588,MI,48225,Midwest
2204,TX,75946,South
2499,MD,20624,South
564,ID,83654,West
508,CO,80456,West
1395,MI,48118,Midwest
1283,WI,54618,Midwest
2183,MO,64726,Midwest
1977,WY,82710,West
568,NV,89403,West
875,WA,98208,West
1275,NE,68663,Midwest
1906,RI,2886,Northeast
2174,LA,70730,South
743,VT,5360,Northeast
1229,IA,51446,Midwest
881,CA,95364,West
2049,NM,87101,West
2516,MN,55356,Midwest
2050,KS,66016,Midwest
2530,FL,33612,South
517,NV,89145,West
2190,UT,84526,West
1319,KS,66771,Midwest
1657,TX,76001,South
2356,TX,78473,South
2556,TN,38460,South
1309,FL,32420,South
1869,TX,78069,South
1708,OH,44647,Midwest
2193,MS,39571,South
1257,ND,58352,Midwest
682,NY,13035,Northeast
1542,LA,70814,South
1953,NH,3771,Northeast
1404,WI,54830,Midwest
607,MO,64633,Midwest
2192,LA,71292,South
1682,SD,57706,Midwest
2521,WA,98577,West
2203,NJ,8020,Northeast
766,MA,1468,Northeast
1347,DC,20015,South
619,IA,52048,Midwest
2275,NE,68524,Midwest
2178,WA,98039,West
2228,NC,28531,South
2217,MN,56585,Midwest
791,NC,28138,South
1481,NC,27101,South
1955,OH,43025,Midwest
667,MI,49254,Midwest
2505,LA,70057,South
676,FL,32336,South
2031,DC,20376,South
1361,PA,15057,Northeast
1271,MO,63368,Midwest
858,CA,92637,West
1337,WV,26238,South
929,CA,92111,West
770,AL,36106,South
1299,OH,43003,Midwest
1490,MS,39565,South
2268,KY,40209,South
1460,AL,36320,South
53,NY,10983,Northeast
1529,CA,94956,West
1579,NJ,7662,Northeast
1313,FL,32963,South
2289,IN,46163,Midwest
909,CA,95456,West
2310,TN,37218,South
49,NY,10004,Northeast
14,NY,14569,Northeast
2595,AR,72142,South
1538,PA,17841,Northeast
914,CA,93704,West
1969,CA,91762,West
2550,IN,46714,Midwest
1597,NC,28676,South
768,WI,54891,Midwest
1821,CA,96010,West
1898,LA,70808,South
1333,OH,45069,Midwest
964,IA,50701,Midwest
939,MO,65724,Midwest
1043,MN,56710,Midwest
290,ID,83254,West
1128,NC,27330,South
1238,OK,74901,South
1769,KS,66417,Midwest
1357,TX,78943,South
1676,WY,82411,West
1441,TX,78881,South
953,NE,68368,Midwest
206,NM,87711,West
630,CA,94609,West
2394,MD,20772,South
1125,MI,48236,Midwest
2401,LA,71001,South
251,CA,90732,West
628,WI,54621,Midwest
269,CA,93603,West
2132,MD,20620,South
734,SC,29596,South
2378,AR,72584,South
2267,FL,34241,South
1166,OR,97737,West
260,CA,91708,West
1564,MO,64096,Midwest
648,ND,58580,Midwest
612,MO,63043,Midwest
270,OR,97901,West
2367,GA,30428,South
1219,CA,95536,West
1026,OH,45245,Midwest
545,CO,81653,West
1187,CT,6359,Northeast
2370,AZ,85096,West
2589,GA,30683,South
2145,MT,59033,West
593,ID,83355,West
1527,MA,1826,Northeast
1379,IL,60959,Midwest
1284,MI,49891,Midwest
599,NV,89161,West
2544,KY,42749,South
2104,PA,15846,Northeast
2294,SD,57633,Midwest
1052,TX,75801,South
1933,RI,2859,Northeast
2074,NM,87004,West
1691,TX,78954,South
2566,NE,68404,Midwest
1340,MN,56088,Midwest
1822,ME,4626,Northeast
548,NV,89033,West
738,IL,61459,Midwest
2326,AZ,85230,West
2624,OK,74542,South
2195,LA,71234,South
2535,FL,33801,South
910,OR,97801,West
1778,TX,77040,South
2473,NE,69040,Midwest
1142,WI,54130,Midwest
597,CA,94129,West
1929,UT,84086,West
1786,NM,87018,West
603,WA,98675,West
2227,TX,78231,South
1625,CA,95348,West
2421,MN,55313,Midwest
239,CO,80294,West
965,MI,49765,Midwest
961,MO,64126,Midwest
2522,AR,72435,South
2470,TN,37370,South
1962,NC,27916,South
1006,KS,67058,Midwest
1829,MT,59840,West
986,ND,58271,Midwest
2171,TX,78076,South
1010,VA,22716,South
1503,OR,97204,West
2424,WA,98859,West
1022,WV,26767,South
1854,MS,39482,South
2086,AZ,85308,West
2614,TX,75661,South
975,WI,54205,Midwest
2590,TX,78113,South
1937,NJ,8055,Northeast
2456,IN,47341,Midwest
1083,IL,60633,Midwest
1243,CA,90266,West
740,MN,55933,Midwest
273,WA,99320,West
1137,TX,76014,South
2291,KY,42076,South
1570,PA,16323,Northeast
1847,CA,94571,West
2242,MN,56029,Midwest
1432,KS,67206,Midwest
297,CA,93675,West
683,KS,67626,Midwest
2219,LA,70508,South
2308,IN,46034,Midwest
629,MI,49345,Midwest
948,OK,74021,South
2377,TX,78150,South
1442,MI,49085,Midwest
1434,WI,54728,Midwest
722,NY,11577,Northeast
1587,OK,74954,South
2029,WY,82224,West
1251,MO,65617,Midwest
1326,WI,54141,Midwest
2221,MO,65542,Midwest
2533,MN,56438,Midwest
552,NM,88044,West
2518,MD,21260,South
792,VT,5250,Northeast
1268,IA,50057,Midwest
1360,KS,66026,Midwest
1515,NC,27876,South
1348,FL,32968,South
2602,AR,72416,South
1982,OH,45335,Midwest
2224,MS,39641,South
2205,PA,16116,Northeast
2253,NC,28152,South
2384,CA,95242,West
957,CA,90262,West
920,WA,98686,West
1921,TX,75931,South
1381,SC,29625,South
2519,LA,70744,South
2408,TX,76578,South
1365,OH,43029,Midwest
1266,OK,73054,South
2136,AZ,85237,West
255,NV,89423,West
1754,DC,20007,South
240,NM,87943,West
2506,GA,31017,South
1393,TX,78879,South
1930,LA,70812,South
1199,AL,35958,South
1712,WY,82937,West
268,CO,81151,West
993,IA,52346,Midwest
248,NV,89156,West
2414,LA,70448,South
2448,FL,33914,South
1824,PA,17519,Northeast
426,NY,10119,Northeast
1158,NC,27544,South
1686,OH,44401,Midwest
626,OR,97490,West
1099,SC,29516,South
1480,TX,78012,South
1023,FL,32801,South
632,CA,91754,West
2452,KY,42464,South
817,WI,54412,Midwest
699,VA,22520,South
1396,DC,20017,South
70,NY,14748,Northeast
646,MO,65025,Midwest
1729,SD,57448,Midwest
2215,WA,98903,West
1342,OH,45233,Midwest
644,NE,68651,Midwest
1623,NJ,8533,Northeast
2570,OK,74632,South
299,CA,94576,West
820,AL,36744,South
703,WV,26743,South
1591,LA,70395,South
687,FL,34614,South
776,MI,48879,Midwest
2337,TN,38379,South
1054,OH,45622,Midwest
955,CA,95935,West
563,CO,80922,West
1317,MO,64847,Midwest
1578,CA,92036,West
2574,TN,38588,South
582,NV,89129,West
2101,NM,87516,West
819,MA,2050,Northeast
1375,MN,55324,Midwest
2146,PA,15545,Northeast
1842,OR,97627,West
1848,ME,4022,Northeast
1369,VA,22033,South
2020,CA,96034,West
724,NY,11236,Northeast
1759,OH,43502,Midwest
2576,NE,68943,Midwest
1296,ND,58735,Midwest
1330,NE,68349,Midwest
938,CA,92585,West
2066,DC,20010,South
2223,LA,71034,South
1380,WV,24954,South
2536,WA,99354,West
2625,OK,74445,South
1351,FL,32113,South
2415,MD,21117,South
1114,IL,61920,Midwest
669,CA,91387,West
1082,MN,56544,Midwest
1932,PA,16436,Northeast
1996,NC,28311,South
2207,CA,95328,West
1513,AL,35652,South
995,MI,48454,Midwest
980,MO,64192,Midwest
1061,WI,53549,Midwest
647,CA,93505,West
2069,SD,57649,Midwest
1092,VA,23120,South
2249,TX,79029,South
1942,MO,63055,Midwest
2435,MN,56726,Midwest
2613,OK,74755,South
1017,ND,58533,Midwest
1887,MS,39110,South
1810,NM,87556,West
2115,AZ,85938,West
2534,AR,72660,South
1056,FL,33388,South
998,NE,68732,Midwest
2617,TX,78550,South
672,IA,52309,Midwest
327,CA,92262,West
1606,MO,65084,Midwest
1874,TX,79925,South
2306,KY,41219,South
1204,OR,97055,West
303,CA,94044,West
320,OR,97405,West
1462,KS,66060,Midwest
2396,AR,72858,South
2240,LA,71367,South
1088,TX,77302,South
685,ND,58576,Midwest
23,AK,99567,West
1553,MS,38671,South
71,AK,99503,West
178,AK,99572,West
218,AK,99901,West
2498,TX,77088,South
262,AK,99568,West
311,AK,99518,West
2474,IN,47036,Midwest
1980,NJ,8035,Northeast
345,ID,83214,West
1292,OK,74452,South
285,NV,89067,West
1784,DC,20009,South
1226,AL,36089,South
1058,MO,63964,Midwest
275,NV,89139,West
2454,FL,33605,South
2441,WA,98938,West
1019,IA,51533,Midwest
2483,TN,37725,South
340,AK,99639,West
1122,SC,29546,South
2596,TX,79083,South
1423,TX,76449,South
2527,MD,21817,South
2179,MT,59047,West
1477,MI,48755,Midwest
2014,NH,3262,Northeast
917,CA,91761,West
2244,UT,84338,West
2349,AZ,85031,West
636,ID,83803,West
1577,MA,1746,Northeast
1327,MI,49116,Midwest
2528,LA,70777,South
364,CA,95358,West
2392,AZ,85140,West
2277,MN,55112,Midwest
2395,GA,31641,South
2191,MD,21104,South
802,SC,29671,South
2322,NE,68741,Midwest
324,WA,98612,West
731,VA,23937,South
2241,WA,98538,West
1654,NJ,8037,Northeast
1626,LA,70117,South
871,NC,28246,South
680,MO,64448,Midwest
1272,CA,90502,West
728,KS,66755,Midwest
806,IL,61073,Midwest
2579,OK,74027,South
996,OK,74833,South
1673,NC,27577,South
786,MN,56455,Midwest
1896,CA,91901,West
2017,OH,45846,Midwest
755,FL,32063,South
2509,TX,77585,South
2564,IN,46561,Midwest
866,MI,48832,Midwest
2124,KS,66938,Midwest
405,AK,99705,West
1734,TX,75773,South
972,CA,90232,West
439,AK,99701,West
486,AK,99676,West
550,AK,99743,West
598,AK,99669,West
652,AK,99501,West
1116,TX,77534,South
681,MO,64667,Midwest
154,NY,14817,Northeast
702,IA,52567,Midwest
697,WI,53202,Midwest
2318,FL,34433,South
1781,SD,57237,Midwest
1502,KS,67232,Midwest
859,AL,35586,South
2263,LA,70633,South
1388,OH,45680,Midwest
741,FL,33767,South
1979,TX,75163,South
708,AK,99712,West
348,CA,93930,West
1000,CA,94999,West
764,WV,26437,South
1585,MS,38849,South
1443,DC,20037,South
284,NM,87043,West
2427,MD,20763,South
1133,WV,25045,South
1758,WY,82325,West
1411,OH,44308,Midwest
1522,TX,78063,South
304,CO,81504,West
1063,FL,33149,South
2172,AZ,85226,West
1568,OR,97004,West
1684,CA,93529,West
2523,GA,31827,South
1974,LA,70453,South
1897,MT,59012,West
2489,NE,68350,Midwest
671,CA,91042,West
650,CA,95458,West
2274,TX,75024,South
662,CA,92373,West
1818,TX,78737,South
2542,AR,72140,South
1193,WI,53035,Midwest
1839,KS,67502,Midwest
2222,TX,75442,South
2468,KY,41558,South
663,OR,97480,West
1293,CA,92103,West
1148,IL,61021,Midwest
1191,MI,49968,Midwest
2431,LA,71369,South
592,CO,80439,West
653,NV,89049,West
1487,WI,53507,Midwest
2400,CA,95552,West
2599,GA,30075,South
830,VT,5261,Northeast
2063,WY,82426,West
1244,CT,6152,Northeast
2581,NE,68413,Midwest
1636,OK,73013,South
2139,NM,88121,West
1403,KS,67861,Midwest
1314,IA,52141,Midwest
2618,TX,78013,South
2254,MS,38844,South
1394,FL,32826,South
2329,SD,57072,Midwest
2258,NJ,8201,Northeast
1189,TX,76302,South
2604,AR,71740,South
1915,MS,38920,South
1567,NC,27265,South
1790,OH,45317,Midwest
2549,WA,98685,West
2626,OK,73939,South
2252,MO,65258,Midwest
1437,IL,60112,Midwest
2283,NC,27530,South
2545,MN,55738,Midwest
851,MA,2446,Northeast
2559,KY,40322,South
705,MO,65713,Midwest
371,CA,93036,West
701,NE,68111,Midwest
362,OR,97301,West
761,KS,66431,Midwest
903,NC,28762,South
826,SC,29037,South
1103,OH,43963,Midwest
391,CA,94590,West
815,MN,56178,Midwest
1297,CA,95831,West
2348,IN,47638,Midwest
2416,AR,71971,South
879,WI,54670,Midwest
2261,WA,98204,West
1248,OR,97127,West
1652,LA,71403,South
698,MI,48657,Midwest
2520,TX,78722,South
2365,TN,38047,South
1059,ND,58622,Midwest
2117,SD,57032,Midwest
2044,NC,28582,South
2453,WA,98326,West
372,ID,83810,West
1747,OH,44133,Midwest
315,CO,80929,West
1050,IA,52037,Midwest
312,NV,89183,West
1078,KS,67065,Midwest
1034,MI,49770,Midwest
2482,IN,47720,Midwest
1135,VA,23608,South
2010,UT,84315,West
1270,NC,28036,South
1983,MO,64055,Midwest
666,WA,99158,West
1452,TX,77565,South
789,NY,13338,Northeast
1378,NE,68116,Midwest
1899,ME,4746,Northeast
1040,OR,97493,West
2119,CA,93531,West
2364,AZ,85085,West
1611,MA,2636,Northeast
622,CO,80751,West
1385,WI,53048,Midwest
2410,AZ,85347,West
2255,PA,17771,Northeast
2012,RI,2830,Northeast
1421,VA,23872,South
949,CA,95635,West
614,NM,88436,West
2575,IN,47124,Midwest
1398,FL,32601,South
1341,ND,58251,Midwest
2586,TN,37872,South
2405,TX,79836,South
1630,CA,95064,West
2182,PA,18015,Northeast
1885,OR,97536,West
2110,DC,20005,South
767,NY,12993,Northeast
1008,CA,95652,West
2230,MD,21231,South
749,ND,58346,Midwest
1419,OH,44730,Midwest
2341,NE,68301,Midwest
1479,DC,20391,South
1486,PA,17554,Northeast
1592,MT,59872,West
44,ID,83627,West
855,IL,60302,Midwest
38,NV,89825,West
1802,SD,57790,Midwest
1938,CA,92021,West
2587,OK,74878,South
1450,WY,82215,West
17,CO,80920,West
365,WA,99111,West
1512,MI,49450,Midwest
39,NM,87532,West
1565,AL,36035,South
26,NV,89008,West
1941,TX,77449,South
2562,FL,34217,South
1873,AZ,85213,West
1662,MO,64479,Midwest
1695,UT,84050,West
1537,NM,88045,West
1851,AZ,85172,West
787,WV,26037,South
28,CO,80132,West
809,FL,32068,South
2432,TX,79111,South
489,NY,13063,Northeast
1167,SC,29485,South
2199,AZ,85205,West
330,NV,89144,West
2248,CA,93664,West
325,NM,88338,West
1118,WI,54701,Midwest
1903,PA,15045,Northeast
1986,PA,19465,Northeast
1160,WV,24901,South
730,CA,90717,West
1120,FL,32953,South
675,CA,94515,West
2457,MN,55798,Midwest
1946,MS,39355,South
1036,MO,63048,Midwest
2496,TN,38367,South
1866,NM,87535,West
1269,AL,36305,South
1101,MO,64722,Midwest
2472,FL,32081,South
2615,OK,73561,South
1223,MI,48827,Midwest
1635,MS,38744,South
729,MO,63133,Midwest
747,MO,64445,Midwest
928,MI,48532,Midwest
848,MN,56339,Midwest
2296,LA,71045,South
2339,FL,32312,South
797,VA,24550,South
1328,CA,92673,West
1716,NJ,7036,Northeast
188,NY,11004,Northeast
427,CA,92154,West
915,WI,54657,Midwest
758,IA,51545,Midwest
1039,CA,93551,West
1733,NC,28174,South
2285,WA,99161,West
2423,GA,30143,South
2382,TN,38375,South
2216,MT,59274,West
1372,MI,49092,Midwest
1021,CA,95460,West
1318,MO,63541,Midwest
375,CA,92507,West
1550,KS,66031,Midwest
1161,TX,75834,South
2303,NC,27205,South
863,VT,5845,Northeast
1339,IA,50603,Midwest
1373,MO,63116,Midwest
984,WA,98205,West
2350,KY,40940,South
640,NV,89101,West
2279,UT,84653,West
1439,WV,26631,South
1454,SC,29851,South
2543,LA,71129,South
2345,SD,57650,Midwest
1599,NC,28721,South
2168,KS,66870,Midwest
735,ID,83212,West
390,CA,94087,West
1792,TX,79936,South
1862,TX,76543,South
1664,OK,73112,South
2266,LA,70431,South
1051,OK,73488,South
1233,TX,76577,South
